Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-09,112.21,114.16,111.67,113.67,537500,0.0,0.0
2022-09-12,114.97,117.65,114.06,114.15,669600,0.0,0.0
2022-09-13,109.94,109.94,105.81,106.03,887700,0.0,0.0
2022-09-14,106.02,106.39,99.41,100.6,1567400,0.0,0.0
2022-09-15,101.05,104.72,100.57,101.12,807900,0.0,0.0
2022-09-16,99.8,101.49,99.2,99.85,1333500,0.0,0.0
2022-09-19,99.1,101.97,99.1,100.74,747600,0.0,0.0
2022-09-20,99.13,100.51,97.08,98.2,846900,0.0,0.0
2022-09-21,98.72,99.15,95.44,95.46,504100,0.0,0.0
2022-09-22,95.11,95.66,93.9,94.18,571900,0.0,0.0
2022-09-23,92.7,93.4,91.46,93.07,776400,0.0,0.0
2022-09-26,91.85,92.83,88.85,89.41,791800,0.0,0.0
2022-09-27,90.56,92.3,89.98,91.25,599400,0.0,0.0
2022-09-28,92.76,95.02,92.25,94.6,588300,0.0,0.0
2022-09-29,92.48,93.43,91.22,91.99,767000,0.0,0.0
2022-09-30,92.46,93.48,90.97,91.19,665700,0.0,0.0
2022-10-03,91.85,94.74,91.85,93.67,545700,0.0,0.0
2022-10-04,96.07,100.71,96.07,100.55,901800,0.0,0.0
2022-10-05,97.8,99.6,96.75,98.89,765900,0.0,0.0
2022-10-06,98.01,99.73,97.98,98.24,422100,0.0,0.0
2022-10-07,96.38,96.77,94.94,95.49,550600,0.0,0.0
2022-10-10,94.97,96.45,93.53,95.22,462400,0.0,0.0
2022-10-11,93.86,98.4,93.62,97.06,676400,0.0,0.0
2022-10-12,96.61,97.68,94.98,96.29,407600,0.0,0.0
2022-10-13,94.36,97.86,91.2,96.68,403200,0.0,0.0
2022-10-14,97.5,98.06,95.0,96.25,541400,0.0,0.0
2022-10-17,99.27,99.73,94.85,96.51,605300,0.0,0.0
2022-10-18,96.55,99.22,96.55,98.85,669700,0.0,0.0
2022-10-19,98.0,98.05,93.55,94.95,670400,0.0,0.0
2022-10-20,95.16,97.38,92.06,92.5,537800,0.0,0.0
2022-10-21,92.5,96.65,92.03,95.37,1013000,0.0,0.0
2022-10-24,95.3,97.43,94.84,96.35,572600,0.0,0.0
2022-10-25,96.85,100.5,96.31,100.24,523500,0.0,0.0
2022-10-26,99.92,100.92,98.16,98.6,675200,0.0,0.0
2022-10-27,98.94,101.48,97.94,98.25,982400,0.0,0.0
2022-10-28,92.73,98.37,92.15,96.72,1273200,0.0,0.0
2022-10-31,96.0,96.16,93.72,94.75,649200,0.0,0.0
2022-11-01,96.8,97.52,94.18,95.09,497200,0.0,0.0
2022-11-02,94.39,94.89,90.4,90.47,743300,0.0,0.0
2022-11-03,89.14,89.45,87.02,87.98,594800,0.0,0.0
